rank,iata,name,city,country,uniquenessScore,status,missing,official_website_url,terminal_map_url,transport_url,parking_url,lounges_url,accessibility_url,source_notes
21,AMS,Amsterdam Airport Schiphol,Amsterdam,Netherlands,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
22,FRA,Frankfurt Airport,Frankfurt,Germany,73,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ official/source URLs in content,,,,,,,
23,IST,Istanbul New Airport,Istanbul,Turkey,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
24,MAD,Adolfo Suarez Madrid-Barajas Airport,Madrid,Spain,73,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ official/source URLs in content,,,,,,,
25,MUC,Franz Josef Strauss Airport,Munich,Germany,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
26,BCN,Barcelona-El Prat Airport,Barcelona,Spain,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
27,LGW,London Gatwick Airport,London,United Kingdom,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
28,FCO,Leonardo da Vinci-Fiumicino Airport,Rome,Italy,73,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ official/source URLs in content,,,,,,,
29,ORY,Paris Orly Airport,Paris,France,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
30,ZRH,Zurich Airport,Zurich,Switzerland,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
31,VIE,Vienna International Airport,Vienna,Austria,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
32,DUB,Dublin Airport,Dublin,Ireland,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
33,CPH,Copenhagen Airport,Copenhagen,Denmark,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
34,ARN,Stockholm Arlanda Airport,Stockholm,Sweden,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
35,OSL,Oslo Airport Gardermoen,Oslo,Norway,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
36,HEL,Helsinki-Vantaa Airport,Helsinki,Finland,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
37,BRU,Brussels Airport,Brussels,Belgium,73,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ official/source URLs in content,,,,,,,
38,LIS,Lisbon Portela Airport,Lisbon,Portugal,73,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ official/source URLs in content,,,,,,,
39,ATH,Eleftherios Venizelos International Airport,Athens,Greece,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
40,WAW,Frederic Chopin Airport,Warsaw,Poland,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
41,PRG,Vaclav Havel Airport Prague,Prague,Czech Republic,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
42,MAN,Manchester Airport,Manchester,United Kingdom,73,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ official/source URLs in content,,,,,,,
43,DUS,Dusseldorf International Airport,Dusseldorf,Germany,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
44,BER,Brandenburg,Berlin,Germany,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
45,MXP,Milano Malpensa Airport,Milan,Italy,73,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ official/source URLs in content,,,,,,,
46,GVA,Geneve Airport,Geneva,Switzerland,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
47,DXB,Dubai Airport,Dubai,United Arab Emirates,73,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ official/source URLs in content,,,,,,,
48,DOH,Hamad International Airport,Doha,Qatar,73,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ official/source URLs in content,,,,,,,
49,AUH,Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates,73,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ official/source URLs in content,,,,,,,
50,JED,King Abdulaziz International Airport,Jeddah,Saudi Arabia,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
51,RUH,King Khaled International Airport,Riyadh,Saudi Arabia,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
52,KWI,Kuwait International Airport,Kuwait,Kuwait,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
53,TLV,Ben Gurion International Airport,Tel Aviv-Yafo,Israel,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
54,BAH,Bahrain International Airport,Bahrain,Bahrain,73,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ official/source URLs in content,,,,,,,
60,BKK,Suvarnabhumi Airport,Bangkok,Thailand,55,needs_enrichment,450+ words of unique about content; Overview section; Airlines section; terminal/runway details; 2+ official/source URLs in content,,,,,,,
71,HYD,Rajiv Gandhi International Airport,Hyderabad,India,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
74,HAN,Noi Bai International Airport,Hanoi,Vietnam,73,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ official/source URLs in content,,,,,,,
75,SGN,Tan Son Nhat International Airport,Ho Chi Minh City,Vietnam,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
76,CGK,Soekarno-Hatta International Airport,Jakarta,Indonesia,73,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ official/source URLs in content,,,,,,,
77,DPS,Ngurah Rai International Airport,Denpasar (Bali),Indonesia,73,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ official/source URLs in content,,,,,,,
78,MNL,Ninoy Aquino International Airport,Manila,Philippines,73,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ official/source URLs in content,,,,,,,
79,KTM,Tribhuvan International Airport,Kathmandu,Nepal,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
80,CMB,Bandaranaike International Airport,Colombo,Sri Lanka,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
83,BNE,Brisbane Airport,Brisbane,Australia,73,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ official/source URLs in content,,,,,,,
84,PER,Perth Airport,Perth,Australia,73,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ official/source URLs in content,,,,,,,
86,JNB,O.R. Tambo International Airport,Johannesburg,South Africa,73,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ official/source URLs in content,,,,,,,
87,CPT,Cape Town International Airport,Cape Town,South Africa,73,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ official/source URLs in content,,,,,,,
88,CAI,Cairo International Airport,Cairo,Egypt,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
89,ADD,Addis Ababa Bole International Airport,Addis Ababa,Ethiopia,73,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ official/source URLs in content,,,,,,,
90,LOS,Murtala Muhammed International Airport,Lagos,Nigeria,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
91,NBO,Jomo Kenyatta International Airport,Nairobi,Kenya,73,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ official/source URLs in content,,,,,,,
92,CMN,Mohamed V International Airport,Casablanca,Morocco,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
93,ALG,Houari Boumediene Airport,Algiers,Algeria,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
95,EZE,Ministro Pistarini Airport,Buenos Aires,Argentina,73,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ official/source URLs in content,,,,,,,
96,BOG,El Dorado International Airport,Bogota,Colombia,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
97,SCL,Arturo Merino Benitez Airport,Santiago,Chile,73,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ official/source URLs in content,,,,,,,
98,LIM,Jorge Chavez International Airport,Lima,Peru,73,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ official/source URLs in content,,,,,,,
99,GIG,Galeao Antonio Carlos Jobim International Airport,Rio De Janeiro,Brazil,73,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ official/source URLs in content,,,,,,,
100,PTY,Tocumen International Airport,Panama City,Panama,64,needs_enrichment,450+ words of unique about content; 3+ tracked routes; 2+ tracked carriers; 2+ official/source URLs in content,,,,,,,
